SITE CODE= 9D2è„ìVëêésëÂñÓñÏí¨          ,32.8632,130.8990, 10,5.9,42476.0735532,  9.43, 16.03
 LAT.=   32.5874
 LON.=  130.4304
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2016 04 16 01 45 50
 NS,EW,UD
-0.185,0.276,0.072
-0.127,0.261,0.187
-0.058,0.218,0.159
-0.009,0.167,0.045
-0.011,0.119,-0.008
-0.065,0.073,0.054
-0.136,0.018,0.127
-0.180,-0.045,0.061
-0.177,-0.105,-0.139
-0.141,-0.130,-0.294
-0.091,-0.097,-0.230
-0.030,-0.010,0.011
0.052,0.092,0.206
0.157,0.164,0.195
0.252,0.175,0.049
0.291,0.128,-0.021
0.259,0.047,0.074
0.183,-0.040,0.202
0.114,-0.121,0.164
0.088,-0.187,-0.050
0.111,-0.222,-0.238
0.155,-0.209,-0.202
0.188,-0.139,0.021
0.187,-0.027,0.202
0.140,0.089,0.166
0.054,0.165,-0.032
-0.050,0.174,-0.183
-0.141,0.121,-0.148
-0.182,0.036,0.011
-0.161,-0.041,0.130
-0.092,-0.084,0.113
-0.018,-0.083,0.004
0.018,-0.043,-0.079
-0.003,0.017,-0.071
-0.066,0.084,0.002
-0.125,0.142,0.062
-0.146,0.186,0.041
-0.122,0.209,-0.040
-0.075,0.207,-0.099
-0.038,0.181,-0.057
-0.030,0.129,0.068
-0.053,0.055,0.169
-0.093,-0.025,0.143
-0.131,-0.083,-0.001
-0.147,-0.084,-0.146
-0.119,-0.020,-0.182
-0.034,0.076,-0.103
0.091,0.151,-0.000
0.215,0.159,0.044
0.289,0.096,0.033
0.284,0.001,0.026
0.220,-0.081,0.056
0.147,-0.125,0.096
0.115,-0.130,0.096
0.141,-0.119,0.052
0.205,-0.104,0.005
0.264,-0.086,0.000
0.284,-0.055,0.024
0.254,-0.006,0.031
0.183,0.050,-0.002
0.095,0.094,-0.047
0.018,0.099,-0.066
-0.026,0.057,-0.074
-0.035,-0.014,-0.114
-0.028,-0.073,-0.184
-0.028,-0.080,-0.194
-0.039,-0.024,-0.056
-0.043,0.060,0.186
-0.021,0.116,0.356
0.013,0.103,0.299
0.025,0.030,0.049
-0.021,-0.050,-0.187
-0.115,-0.082,-0.221
-0.208,-0.048,-0.062
-0.249,0.026,0.113
-0.225,0.096,0.149
-0.165,0.130,0.052
-0.112,0.121,-0.052
-0.087,0.081,-0.071
-0.085,0.026,-0.037
-0.083,-0.030,-0.040
-0.064,-0.073,-0.109
-0.023,-0.094,-0.174
0.028,-0.090,-0.152
0.070,-0.070,-0.040
0.084,-0.048,0.094
0.069,-0.030,0.174
0.042,-0.016,0.174
0.027,0.000,0.115
0.036,0.021,0.033
0.058,0.044,-0.033
0.078,0.059,-0.047
0.087,0.057,-0.001
0.089,0.038,0.061
0.086,0.005,0.070
0.069,-0.030,-0.002
0.029,-0.055,-0.105
-0.027,-0.062,-0.157
-0.071,-0.054,-0.126
-0.075,-0.041,-0.046
-0.032,-0.032,0.033
0.031,-0.028,0.100
0.088,-0.030,0.165
0.112,-0.048,0.216
0.095,-0.092,0.217
0.041,-0.159,0.145
-0.032,-0.221,0.024
-0.100,-0.246,-0.091
-0.133,-0.223,-0.161
-0.120,-0.162,-0.168
-0.076,-0.089,-0.118
-0.032,-0.024,-0.028
-0.012,0.021,0.071
-0.020,0.046,0.129
-0.038,0.048,0.113
-0.055,0.032,0.036
-0.070,0.008,-0.042
-0.093,-0.017,-0.071
-0.131,-0.046,-0.055
-0.173,-0.075,-0.037
-0.203,-0.091,-0.042
-0.206,-0.071,-0.040
-0.175,-0.007,0.004
-0.112,0.075,0.073
-0.033,0.136,0.092
0.041,0.149,0.018
0.085,0.127,-0.086
0.089,0.106,-0.101
0.071,0.116,0.015
0.061,0.153,0.178
0.082,0.191,0.245
0.124,0.210,0.166
0.158,0.210,0.018
0.159,0.196,-0.084
0.131,0.174,-0.110
0.102,0.145,-0.104
0.091,0.118,-0.104
0.093,0.098,-0.094
0.080,0.090,-0.048
0.031,0.083,0.012
-0.043,0.063,0.030
-0.114,0.031,-0.015
-0.144,0.000,-0.082
-0.128,-0.021,-0.103
-0.093,-0.032,-0.054
-0.077,-0.046,0.030
-0.096,-0.068,0.105
-0.137,-0.086,0.145
