SITE CODE= EEDìÏà¢ëhë∫íÜèº              ,33.0265,131.1910, 10,5.8,42476.1638079,  3.93,  6.67
 LAT.=   32.8803
 LON.=  131.0736
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2016 04 16 03 54 40
 NS,EW,UD
-0.017,0.126,0.083
0.073,0.002,0.123
0.145,-0.158,0.094
0.160,-0.294,0.002
0.120,-0.350,-0.097
0.051,-0.297,-0.141
-0.036,-0.148,-0.105
-0.144,0.045,-0.016
-0.252,0.222,0.078
-0.314,0.321,0.140
-0.286,0.305,0.154
-0.169,0.178,0.121
-0.009,-0.016,0.055
0.137,-0.203,-0.023
0.235,-0.307,-0.088
0.268,-0.294,-0.121
0.231,-0.185,-0.120
0.137,-0.037,-0.091
0.027,0.087,-0.050
-0.050,0.166,-0.008
-0.074,0.205,0.021
-0.078,0.218,0.032
-0.105,0.202,0.027
-0.151,0.145,0.023
-0.159,0.045,0.036
-0.080,-0.077,0.067
0.063,-0.189,0.091
0.191,-0.257,0.077
0.228,-0.261,0.016
0.174,-0.202,-0.065
0.081,-0.100,-0.117
0.000,0.011,-0.106
-0.057,0.110,-0.044
-0.107,0.188,0.020
-0.145,0.244,0.045
-0.152,0.261,0.028
-0.116,0.204,0.013
-0.055,0.066,0.035
-0.008,-0.105,0.082
0.003,-0.227,0.102
-0.015,-0.244,0.055
-0.034,-0.171,-0.037
-0.020,-0.073,-0.109
0.040,0.009,-0.105
0.138,0.084,-0.031
0.227,0.170,0.050
0.250,0.249,0.079
0.180,0.268,0.043
0.046,0.191,-0.025
-0.086,0.045,-0.075
-0.162,-0.104,-0.084
-0.173,-0.208,-0.056
-0.146,-0.257,-0.016
-0.114,-0.261,0.017
-0.077,-0.223,0.031
-0.024,-0.135,0.028
0.041,-0.007,0.016
0.095,0.118,0.011
0.105,0.193,0.019
0.062,0.196,0.037
-0.016,0.150,0.047
-0.093,0.093,0.038
-0.132,0.046,0.014
-0.119,0.000,-0.008
-0.062,-0.058,-0.021
0.007,-0.125,-0.028
0.054,-0.177,-0.037
0.060,-0.182,-0.043
0.035,-0.132,-0.034
0.014,-0.036,0.000
0.025,0.085,0.049
0.074,0.208,0.083
0.132,0.301,0.082
0.159,0.323,0.048
0.124,0.241,0.001
0.027,0.066,-0.039
-0.093,-0.132,-0.071
-0.183,-0.265,-0.091
-0.196,-0.284,-0.093
-0.120,-0.215,-0.070
0.012,-0.132,-0.027
0.143,-0.080,0.009
0.215,-0.053,0.016
0.199,-0.016,-0.008
0.111,0.030,-0.032
-0.005,0.055,-0.018
-0.100,0.043,0.036
-0.151,0.016,0.102
-0.157,0.013,0.136
-0.141,0.045,0.121
-0.117,0.079,0.068
-0.090,0.077,0.002
-0.057,0.045,-0.059
-0.017,0.017,-0.098
0.026,0.018,-0.100
0.069,0.034,-0.058
0.103,0.036,0.008
0.124,0.014,0.066
0.130,-0.015,0.084
0.125,-0.033,0.066
0.111,-0.039,0.035
0.082,-0.043,0.008
0.028,-0.050,-0.018
-0.048,-0.054,-0.049
-0.119,-0.041,-0.074
-0.146,-0.005,-0.067
-0.110,0.054,-0.021
-0.040,0.124,0.041
0.007,0.176,0.080
-0.002,0.175,0.072
-0.056,0.099,0.024
-0.100,-0.034,-0.032
-0.089,-0.168,-0.070
-0.018,-0.243,-0.075
0.071,-0.238,-0.050
0.134,-0.177,-0.006
0.143,-0.101,0.028
0.108,-0.031,0.034
0.057,0.032,0.006
0.015,0.098,-0.027
-0.008,0.155,-0.033
-0.022,0.182,0.002
-0.038,0.168,0.057
-0.063,0.118,0.087
-0.097,0.051,0.066
-0.130,-0.015,0.004
-0.147,-0.065,-0.060
-0.135,-0.086,-0.094
-0.082,-0.076,-0.077
0.004,-0.046,-0.016
0.107,-0.016,0.062
0.192,0.004,0.117
0.230,0.026,0.107
0.207,0.063,0.027
0.127,0.108,-0.080
0.006,0.130,-0.147
-0.123,0.096,-0.127
-0.221,0.003,-0.033
-0.249,-0.114,0.070
-0.188,-0.207,0.117
-0.062,-0.240,0.093
0.075,-0.210,0.030
0.170,-0.136,-0.023
0.193,-0.045,-0.048
0.157,0.043,-0.051
0.095,0.114,-0.044
0.036,0.159,-0.028
-0.007,0.169,-0.005
-0.040,0.144,0.015
-0.075,0.093,0.016
-0.107,0.030,-0.002
-0.111,-0.029,-0.021
-0.062,-0.072,-0.014
0.042,-0.099,0.022
0.159,-0.113,0.067
0.219,-0.114,0.091
0.174,-0.091,0.076
0.039,-0.033,0.032
-0.121,0.061,-0.023
-0.232,0.166,-0.070
-0.246,0.234,-0.087
-0.164,0.227,-0.058
-0.019,0.148,0.008
0.140,0.036,0.076
0.252,-0.065,0.095
0.269,-0.136,0.038
0.179,-0.180,-0.068
0.023,-0.202,-0.166
-0.135,-0.185,-0.194
-0.244,-0.111,-0.133
-0.282,0.011,-0.004
-0.247,0.137,0.143
-0.151,0.213,0.252
-0.014,0.216,0.274
0.119,0.167,0.188
0.207,0.093,0.027
0.223,0.005,-0.134
0.183,-0.099,-0.219
0.117,-0.209,-0.197
0.048,-0.278,-0.105
-0.016,-0.259,-0.007
-0.068,-0.147,0.056
-0.089,0.009,0.086
-0.071,0.151,0.099
-0.036,0.239,0.094
-0.029,0.265,0.055
-0.077,0.232,-0.014
-0.151,0.141,-0.078
-0.185,0.007,-0.095
-0.125,-0.130,-0.055
0.017,-0.224,0.001
0.175,-0.252,0.027
0.271,-0.226,0.010
0.271,-0.171,-0.021
0.191,-0.095,-0.030
0.070,0.005,-0.004
-0.061,0.120,0.034
-0.184,0.205,0.055
-0.279,0.220,0.043
-0.314,0.153,0.009
-0.259,0.039,-0.026
-0.116,-0.068,-0.048
0.072,-0.132,-0.052
0.234,-0.133,-0.041
0.307,-0.075,-0.021
0.263,0.027,0.000
0.131,0.140,0.021
-0.021,0.213,0.044
-0.120,0.204,0.058
-0.131,0.111,0.041
-0.069,-0.021,-0.018
0.014,-0.136,-0.102
0.079,-0.194,-0.150
0.107,-0.194,-0.103
0.097,-0.155,0.038
0.045,-0.093,0.195
-0.052,-0.020,0.260
-0.175,0.046,0.184
-0.266,0.077,0.016
-0.258,0.054,-0.130
-0.127,-0.008,-0.174
0.077,-0.065,-0.115
0.258,-0.063,-0.019
0.321,0.017,0.048
0.239,0.144,0.068
0.061,0.255,0.062
-0.115,0.281,0.050
-0.207,0.193,0.034
-0.184,0.015,-0.001
-0.075,-0.179,-0.059
0.062,-0.307,-0.112
0.177,-0.320,-0.121
0.239,-0.225,-0.073
0.229,-0.071,0.003
0.147,0.088,0.052
0.009,0.218,0.042
-0.144,0.288,0.000
-0.260,0.269,-0.013
-0.291,0.150,0.032
-0.226,-0.032,0.098
-0.097,-0.201,0.108
0.037,-0.284,0.028
0.132,-0.261,-0.094
0.177,-0.159,-0.168
0.181,-0.026,-0.138
0.155,0.109,-0.027
0.092,0.227,0.091
-0.007,0.296,0.159
-0.117,0.279,0.166
-0.191,0.164,0.126
-0.200,-0.014,0.059
-0.153,-0.185,-0.025
-0.089,-0.279,-0.107
-0.028,-0.263,-0.161
0.036,-0.149,-0.161
0.113,0.006,-0.109
0.181,0.135,-0.032
0.195,0.187,0.034
0.137,0.152,0.066
0.038,0.065,0.066
-0.042,-0.028,0.056
-0.072,-0.103,0.047
-0.061,-0.158,0.037
-0.042,-0.192,0.011
-0.033,-0.190,-0.032
-0.028,-0.134,-0.065
-0.018,-0.029,-0.051
-0.010,0.095,0.015
-0.015,0.205,0.093
-0.033,0.274,0.123
-0.050,0.282,0.076
-0.047,0.208,-0.014
-0.015,0.052,-0.087
0.040,-0.143,-0.103
0.100,-0.293,-0.078
0.131,-0.325,-0.050
0.102,-0.235,-0.037
0.008,-0.086,-0.026
-0.112,0.040,0.002
-0.199,0.112,0.039
-0.203,0.152,0.055
-0.123,0.189,0.041
0.005,0.224,0.021
0.140,0.222,0.024
0.247,0.159,0.048
0.301,0.048,0.055
0.284,-0.071,0.015
0.189,-0.169,-0.052
0.039,-0.234,-0.088
-0.128,-0.263,-0.054
-0.269,-0.239,0.029
-0.353,-0.150,0.093
-0.353,-0.007,0.086
-0.257,0.134,0.019
-0.079,0.214,-0.053
0.125,0.212,-0.086
0.276,0.161,-0.071
0.317,0.109,-0.029
0.239,0.072,0.014
0.093,0.031,0.046
-0.051,-0.032,0.054
-0.139,-0.108,0.027
-0.152,-0.162,-0.026
-0.102,-0.175,-0.077
-0.023,-0.159,-0.085
0.046,-0.133,-0.038
0.081,-0.094,0.030
0.080,-0.021,0.080
0.062,0.087,0.090
0.038,0.202,0.074
0.007,0.269,0.056
-0.042,0.248,0.040
-0.105,0.139,0.017
-0.150,-0.019,-0.021
-0.139,-0.173,-0.066
-0.062,-0.268,-0.102
0.050,-0.270,-0.124
0.143,-0.182,-0.130
0.171,-0.042,-0.116
0.123,0.098,-0.067
0.031,0.206,0.019
-0.055,0.266,0.120
-0.102,0.265,0.192
-0.103,0.186,0.202
-0.073,0.032,0.142
-0.029,-0.146,0.030
0.016,-0.267,-0.096
0.050,-0.275,-0.191
0.062,-0.189,-0.208
0.038,-0.079,-0.124
-0.016,-0.005,0.031
-0.077,0.029,0.181
-0.114,0.061,0.242
-0.094,0.109,0.182
-0.007,0.142,0.044
0.128,0.122,-0.095
0.263,0.046,-0.174
0.328,-0.039,-0.180
0.277,-0.082,-0.132
0.123,-0.062,-0.052
-0.066,-0.001,0.038
-0.212,0.063,0.114
-0.274,0.101,0.139
-0.265,0.091,0.098
-0.216,0.029,0.008
-0.141,-0.073,-0.076
-0.045,-0.175,-0.108
0.055,-0.224,-0.076
0.126,-0.189,-0.014
0.137,-0.079,0.035
0.088,0.057,0.051
0.012,0.173,0.043
-0.057,0.236,0.034
-0.103,0.239,0.042
-0.123,0.187,0.059
-0.111,0.094,0.062
-0.061,-0.021,0.032
0.026,-0.128,-0.030
0.131,-0.190,-0.103
0.216,-0.182,-0.147
0.240,-0.114,-0.134
0.180,-0.025,-0.068
0.055,0.040,0.016
-0.082,0.062,0.081
-0.172,0.057,0.103
-0.177,0.055,0.087
-0.105,0.066,0.051
-0.005,0.072,0.016
0.068,0.042,-0.011
0.086,-0.028,-0.029
0.052,-0.103,-0.038
0.003,-0.137,-0.034
-0.025,-0.105,-0.016
-0.016,-0.034,0.009
0.018,0.028,0.029
0.043,0.053,0.030
0.030,0.053,0.009
-0.017,0.059,-0.022
-0.070,0.090,-0.046
-0.093,0.125,-0.045
-0.078,0.128,-0.014
-0.038,0.079,0.032
0.002,-0.005,0.070
0.031,-0.084,0.073
0.045,-0.122,0.039
0.046,-0.114,-0.012
0.037,-0.081,-0.056
0.024,-0.048,-0.071
0.015,-0.025,-0.055
0.014,-0.007,-0.015
0.018,0.013,0.030
