SITE CODE= EA0ïƒéqésîéòJí¨ÅiãåÅj        ,35.2733,133.3483,  9,7.3,36805.5627072,  3.62,  6.15
 LAT.=    0.0000
 LON.=    0.0000
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2000 10 06 13 30 10
 NS,EW,UD
-0.004,-0.014,-0.005
0.019,-0.001,-0.014
0.030,0.007,0.010
0.017,0.004,0.015
0.011,-0.004,-0.004
0.033,-0.029,-0.014
0.024,-0.035,-0.023
-0.002,-0.022,-0.005
0.003,-0.008,0.014
0.005,0.002,0.007
-0.023,-0.008,0.019
-0.075,0.005,0.007
-0.014,0.033,-0.009
0.083,0.021,0.023
0.033,0.007,0.014
-0.012,0.009,-0.021
-0.007,-0.004,-0.011
-0.012,-0.020,0.008
0.014,-0.005,0.009
-0.012,0.023,-0.007
-0.053,0.005,-0.010
-0.020,-0.029,0.007
0.016,-0.017,0.011
0.016,-0.002,0.009
-0.003,-0.009,0.011
-0.008,-0.011,0.003
0.008,-0.006,-0.013
0.012,0.012,-0.017
0.021,0.020,-0.017
0.022,0.007,-0.015
-0.015,0.006,-0.007
-0.030,0.002,-0.005
-0.013,0.002,-0.004
-0.008,0.009,0.012
-0.012,0.007,0.024
-0.003,0.013,0.000
0.020,0.023,-0.029
0.028,0.020,-0.029
0.001,-0.004,0.001
-0.036,-0.032,0.038
-0.043,-0.021,0.022
-0.013,0.013,0.004
0.012,0.022,0.019
0.025,0.017,0.004
0.041,0.009,-0.002
0.038,-0.018,0.010
0.013,-0.021,0.008
-0.005,-0.002,0.003
0.000,0.004,-0.015
0.000,0.015,-0.018
-0.012,0.014,-0.001
0.003,0.004,0.009
0.020,0.002,0.007
0.009,0.007,-0.009
-0.006,0.010,-0.018
0.004,-0.002,-0.010
0.021,-0.011,-0.002
0.024,-0.008,0.005
-0.004,-0.003,0.009
-0.040,0.002,0.011
-0.038,-0.009,0.023
-0.019,-0.018,0.023
-0.012,-0.007,-0.003
-0.001,-0.006,-0.023
0.021,-0.018,-0.010
0.029,0.000,0.001
0.016,0.029,-0.005
0.005,0.031,-0.013
0.009,0.025,-0.011
0.006,0.009,-0.002
-0.012,-0.013,-0.003
-0.024,-0.024,-0.007
-0.017,-0.027,-0.003
0.003,-0.003,0.002
0.002,0.023,-0.004
0.002,0.024,0.000
0.032,0.018,0.016
0.042,0.014,0.021
0.016,0.002,0.020
-0.004,-0.018,-0.003
-0.007,-0.021,-0.027
-0.010,-0.011,-0.009
-0.021,-0.011,0.013
-0.047,-0.004,0.025
-0.045,0.013,0.018
0.017,0.013,-0.002
0.050,-0.004,0.006
0.009,-0.011,0.005
-0.018,-0.015,-0.017
0.007,-0.019,-0.015
0.021,-0.012,-0.005
-0.016,-0.005,0.004
-0.054,-0.001,0.007
-0.030,-0.006,0.003
0.011,0.007,0.003
